question_type,question,option1,option2,option3,option4,correct,marks,negative
mcq,What is the capital of India?,Mumbai,Delhi,Bangalore,Chennai,2,1,0.25
multi_select,Which are programming languages? (Select all),Python,Table,Java,Chair,1|3,2,0.5
true_false,The Earth revolves around the Sun.,True,False,,,true,1,0.25
short_answer,What is the capital of France?,,,,,Paris,2,0
numeric,What is 25 + 15?,,,,,40,1,0
mcq,Which planet is closest to the sun?,Venus,Mercury,Earth,Mars,2,1,0.25
multi_select,Which are renewable energy sources? (Select all),Solar,Coal,Wind,Nuclear,1|3,2,0.5
true_false,India is the smallest country in the world.,True,False,,,false,1,0.25
short_answer,Name the process where plants prepare food.,,,,,Photosynthesis,2,0
numeric,Calculate: 144 / 12 = ?,,,,,12,1,0
mcq,What is the chemical symbol for Gold?,Go,Au,Gd,Ag,2,1,0.25
multi_select,Which are Indian states? (Select all),Kerala,Mumbai,Tamil Nadu,London,1|3,2,0.5
true_false,Water boils at 100 degrees Celsius.,True,False,,,true,1,0.25
short_answer,What is the chemical formula for salt?,,,,,NaCl,2,0
numeric,What is 5^2?,,,,,25,1,0
mcq,Which is the largest ocean?,Arctic,Indian,Pacific,Atlantic,3,1,0.25
multi_select,Which are protocols in networking? (Select all),HTTP,USB,TCP,HDMI,1|3,2,0.5
true_false,Python is a programming language.,True,False,,,true,1,0.25
short_answer,Who wrote the Indian Constitution?,,,,,Dr. B.R. Ambedkar,2,0
numeric,If x=10, what is 2x+5?,,,,,25,1,0
